ID_SKU;COD_SKU;COD_SKU_COMPARABLE;DESC_SKU;COD_EAN;ID_MARCA;COD_MARCA;DESC_MARCA;ID_PROVEEDOR;COD_PROVEEDOR;DESC_PROVEEDOR;ID_DIVISION;COD_DIVISION;DESC_DIVISION;ID_DEPARTAMENTO;COD_DEPARTAMENTO;DESC_DEPARTAMENTO;ID_SUBDEPARTAMENTO;COD_SUBDEPARTAMENTO;DESC_SUBDEPARTAMENTO;ID_CLASE;COD_CLASE;DESC_CLASE;ID_SUBCLASE;COD_SUBCLASE;DESC_SUBCLASE;ID_ESTADO;DESC_ESTADO;DESC_PROCEDENCIA;F_PRECIO_COSTO;ELASTICIDAD;FAMILIA;FLG_MMPP
91587567;41920308;;HUEVOS DE GALLINA X 8 UNDS TOTTUS;2.00E+12;12430;TOTTUS;TOTTUS;61072;2045261476;LA CALERA S.A.C;30019448;J05;FLC;30019475;J0501;FIAMBRERIA;30019559;J050102;HUEVOS FRESCOS;30020802;J05010202;GALLINA;91438233;J0501020204;REGULARES;1;Inactivo;Nacional;4.68;2.167826946;F4195;1
92714899;43528129;;SUAVE CUIDADO COMPLETO X12 X50M;7.75E+12;12164;SUAVE;SUAVE;1040503;2061531905;FAMPRO TISSUE PERU S.R.L.;30019446;J02;PGC NO COMESTIBLE;30019465;J0201;LAVADO Y MANTENIMIENTO;30019523;J020103;PRODUCTOS DE PAPEL PARA EL HOGAR;30019945;J02010302;PAPELES HIGIENICOS;30020966;J0201030201;DOBLE HOJA;0;Activo;Nacional;17.96;4.439961638;F1566;0
92235234;42856017;;F ENDULZANTE STEVIA 250G;2.00E+12;2011374;STEVIA BOL;STEVIA BOLIVIANA;1023979;2060898313;GRUPO HUERTO DEL VALLE SAC;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;90887556;J0101070104;EDULCORANTES;2;Descontinuado;Nacional;19.49;;;0
90227369;40422069;;PAPEL HIG.SUAVE X 12 D/HOJA VERDE;2.00E+12;12164;SUAVE;SUAVE;14798;2010020549;REPRESENTACIONES INTERNACIONALES S. A.C.;30019446;J02;PGC NO COMESTIBLE;30019465;J0201;LAVADO Y MANTENIMIENTO;30019523;J020103;PRODUCTOS DE PAPEL PARA EL HOGAR;30019945;J02010302;PAPELES HIGIENICOS;30020966;J0201030201;DOBLE HOJA;98;Purgado;Nacional;7.44;;;0
90602955;40867046;;SUGAFOR GRANULADO X 80G;7.80E+12;1999607;SUGAFOR;SUGAFOR;61025;2026299632;FARMINDUSTRIA S.A.;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;90887556;J0101070104;EDULCORANTES;98;Purgado;Nacional;14.63;;;0
90795473;41072522;;AZUCAR RUBIA X KG.;7.75E+12;2002653;PICHICHI;PICHICHI;60920;2030358562;SUCDEN PERU SA;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;92163647;J0101070106;GRANEL;98;Purgado;Nacional;1.46;;;0
10265577;10264671;;AZUCAR RUBIA DON MOISES X 1 KG;2.01E+12;8579;DONMOISES;DON MOISES;60368;1001159115;ESTHER BARBOZA MENDOZA;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;30024732;J0101070102;AZUCAR RUBIA;98;Purgado;Nacional;1.05;;;0
90130378;40273627;;AZUCAR RUBIA COSTEÑA X 1 KG;7.76E+12;8225;COSTENO;COSTENO;62700;2053672752;COSTEÑO ALIMENTOS S.A.C.;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;30024732;J0101070102;AZUCAR RUBIA;98;Purgado;Nacional;2.63;;;0
10248837;10248451;;EDULCORANTE STAC EN POLVO X 100 BOL+30 SOBRES GRAT;7.75E+12;12122;STAC;STAC;1136;2010028493;EUROFARMA PERU S.A.C.;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;30024731;J0101070103;OTROS AZUCARES;98;Purgado;Nacional;14.48;;;0
91507835;41835596;;LIQUIDO SUCRALOSA SPLENDA 50ML;7.23E+11;12080;SPLENDA;SPLENDA;194;2010003083;G.W. YICHANG & CIA S.A.;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;90887556;J0101070104;EDULCORANTES;98;Purgado;Nacional;14.19;;;0
20034974;20034814;;SPLENDA TABLETAS X 100 UNID.;7.89E+12;12080;SPLENDA;SPLENDA;194;2010003083;G.W. YICHANG & CIA S.A.;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;90887556;J0101070104;EDULCORANTES;98;Purgado;Nacional;10.27;;;0
90614918;40879492;;OVOFELIZ HUEVO PARDO FRESCO X 12U;7.76E+12;2002344;OVOFELIZ;OVOFELIZ;63152;2052333865;PONEDORAS PACHACAMAC S.A.C.;30019448;J05;FLC;30019475;J0501;FIAMBRERIA;30019559;J050102;HUEVOS FRESCOS;30020802;J05010202;GALLINA;30024065;J0501020202;EMPACADOS;98;Purgado;Nacional;5.8;;;0
92291335;42954317;;STEVIA YACON ONZA CAJA 50 SOBRES;7.76E+12;2003592;ONZA;ONZA;63383;2053871321;ONZA PERU S.A.C.;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;90887558;J0101070105;STEVIAS;0;Activo;Nacional;11.85;2.597835175;F4876;0
92066068;42593811;;F MONKFRUIT CON ERITRITOL CLASSIC 500GR;2.00E+12;2010020;70 25 05 L;70 25 05 LOW CARB;1019885;2060605864;JODOWA INVERSIONES SAC;30019445;J01;PGC COMESTIBLE;30019463;J0101;ABARROTES;30019506;J010107;DESAYUNOS/DULCES;30019875;J01010701;AZUCAR/SUSTITUTOS;30024731;J0101070103;OTROS AZUCARES;98;Purgado;Nacional;38.98;;;0
